Date,Total_Sales_EUR_Million,EPS,Close
10/29/2019,7680.226087,3.5,242.2757721
10/30/2019,7673.116304,3.505,241.0786591
10/31/2019,7666.006522,3.51,239.7894592
11/3/2019,7644.677174,3.525,239.881546
11/4/2019,7637.567391,3.53,242.3678741
11/5/2019,7630.457609,3.535,244.0253906
11/6/2019,7623.347826,3.54,242.9203491
11/7/2019,7616.238043,3.545,243.3807831
11/10/2019,7594.908696,3.56,242.1836548
11/11/2019,7587.798913,3.565,240.7103119
11/12/2019,7580.68913,3.57,241.446991
11/13/2019,7573.579348,3.575,241.446991
11/14/2019,7566.469565,3.58,240.8023834
11/17/2019,7545.140217,3.595,241.5390778
11/18/2019,7538.030435,3.6,240.1577759
11/19/2019,7530.920652,3.605,238.1319275
11/20/2019,7523.81087,3.61,235.2772827
11/21/2019,7516.701087,3.615,235.1852112
11/24/2019,7495.371739,3.63,235.1852112
11/25/2019,7488.261957,3.635,236.9348297
11/26/2019,7481.152174,3.64,237.4873199
11/27/2019,7474.042391,3.645,236.6585541
11/28/2019,7466.932609,3.65,238.2240448
12/1/2019,7445.603261,3.665,231.7780457
12/2/2019,7438.493478,3.67,231.1334534
12/3/2019,7431.383696,3.675,233.0672455
12/4/2019,7424.273913,3.68,231.3176422
12/5/2019,7417.16413,3.685,236.3823242
12/8/2019,7395.834783,3.7,234.0802002
12/9/2019,7388.725,3.705,235.2772827
12/10/2019,7381.615217,3.71,234.2643585
12/11/2019,7374.505435,3.715,236.0139618
12/12/2019,7367.395652,3.72,236.0139618
12/15/2019,7346.066304,3.735,240.5261688
12/16/2019,7338.956522,3.74,235.7377319
12/17/2019,7331.846739,3.745,235.6456451
12/18/2019,7324.736957,3.75,238.4081879
12/19/2019,7317.627174,3.755,243.749176
12/22/2019,7296.297826,3.77,244.3016205
12/23/2019,7289.188043,3.775,243.5649414
12/24/2019,7282.078261,3.78,243.5649414
12/26/2019,7267.858696,3.79,245.0383453
12/29/2019,7246.529348,3.805,242.3678741
12/30/2019,7239.419565,3.81,243.104538
1/1/2020,7225.2,3.82,243.2887268
1/2/2020,7210.102198,3.82,243.0124512
1/5/2020,7164.808791,3.82,242.1836548
1/6/2020,7149.710989,3.82,239.0528107
1/7/2020,7134.613187,3.82,240.5261688
1/8/2020,7119.515385,3.82,241.9995117
1/9/2020,7104.417582,3.82,243.0124512
1/12/2020,7059.124176,3.82,241.7232513
1/13/2020,7044.026374,3.82,242.9203491
1/14/2020,7028.928571,3.82,248.0771027
1/15/2020,7013.830769,3.82,248.4454651
1/16/2020,6998.732967,3.82,253.5101471
1/19/2020,6953.43956,3.82,252.5892944
1/20/2020,6938.341758,3.82,249.2742462
1/21/2020,6923.243956,3.82,247.7087555
1/22/2020,6908.146154,3.82,245.8670807
1/23/2020,6893.048352,3.82,249.0900574
1/26/2020,6847.754945,3.82,237.5794373
1/27/2020,6832.657143,3.82,240.8944855
1/28/2020,6817.559341,3.82,241.5390778
1/29/2020,6802.461538,3.82,239.0528107
1/30/2020,6787.363736,3.82,231.9622192
2/2/2020,6742.07033,3.82,234.8168793
2/3/2020,6726.972527,3.82,240.8023834
2/4/2020,6711.874725,3.82,242.2757721
2/5/2020,6696.776923,3.82,246.6037292
2/6/2020,6681.679121,3.82,249.2742462
2/9/2020,6636.385714,3.82,249.3662872
2/10/2020,6621.287912,3.82,251.3921661
2/11/2020,6606.19011,3.82,249.6425934
2/12/2020,6591.092308,3.82,250.0109406
2/13/2020,6575.994505,3.82,246.9720612
2/16/2020,6530.701099,3.82,246.3275146
2/17/2020,6515.603297,3.82,247.0641937
2/18/2020,6500.505495,3.82,250.7475891
2/19/2020,6485.407692,3.82,244.6699829
2/20/2020,6470.30989,3.82,244.9462128
2/23/2020,6425.016484,3.82,235.7377319
2/24/2020,6409.918681,3.82,232.6989288
2/25/2020,6394.820879,3.82,233.8960114
2/26/2020,6379.723077,3.82,227.0817261
2/27/2020,6364.625275,3.82,221.9249725
3/1/2020,6319.331868,3.82,227.9104919
3/2/2020,6304.234066,3.82,231.5018005
3/3/2020,6289.136264,3.82,238.9607086
3/4/2020,6274.038462,3.82,237.1190033
3/5/2020,6258.940659,3.82,233.6197662
3/8/2020,6213.647253,3.82,218.0573883
3/9/2020,6198.549451,3.82,215.8473511
3/10/2020,6183.451648,3.82,211.5193481
3/11/2020,6168.353846,3.82,196.1411591
3/12/2020,6153.256044,3.82,198.9036865
3/15/2020,6107.962637,3.82,191.1685486
3/16/2020,6092.864835,3.82,204.9813232
3/17/2020,6077.767033,3.82,206.6388245
3/18/2020,6062.669231,3.82,209.5855713
3/19/2020,6047.571429,3.82,209.0330505
3/22/2020,6002.278022,3.82,203.1396179
3/23/2020,5987.18022,3.82,219.4386749
3/24/2020,5972.082418,3.82,233.711853
3/25/2020,5956.984615,3.82,234.4485321
3/26/2020,5941.886813,3.82,221.0041046
3/29/2020,5896.593407,3.82,226.8054657
3/30/2020,5881.495604,3.82,219.9911804
3/31/2020,5866.397802,3.82,214.8344116
4/1/2020,5851.3,3.82,219.1624146
4/2/2020,5864.327473,3.816263736,217.5969543
4/5/2020,5903.40989,3.805054945,216.7681885
4/6/2020,5916.437363,3.801318681,221.0041046
4/7/2020,5929.464835,3.797582418,223.2141571
4/8/2020,5942.492308,3.793846154,225.4241943
