Date,Total_Sales_EUR_Million,EPS
2019-10-01,7879.3,3.36
2019-10-02,7872.190217391305,3.3649999999999998
2019-10-03,7865.080434782609,3.3699999999999997
2019-10-04,7857.970652173914,3.375
2019-10-05,7850.860869565217,3.38
2019-10-06,7843.751086956522,3.385
2019-10-07,7836.641304347826,3.3899999999999997
2019-10-08,7829.531521739131,3.395
2019-10-09,7822.421739130435,3.4
2019-10-10,7815.311956521739,3.405
2019-10-11,7808.202173913043,3.4099999999999997
2019-10-12,7801.092391304348,3.415
2019-10-13,7793.982608695653,3.42
2019-10-14,7786.872826086957,3.425
2019-10-15,7779.763043478261,3.4299999999999997
2019-10-16,7772.653260869565,3.435
2019-10-17,7765.54347826087,3.44
2019-10-18,7758.433695652174,3.445
2019-10-19,7751.323913043479,3.4499999999999997
2019-10-20,7744.214130434782,3.455
2019-10-21,7737.104347826087,3.46
2019-10-22,7729.994565217391,3.465
2019-10-23,7722.884782608696,3.4699999999999998
2019-10-24,7715.775,3.4749999999999996
2019-10-25,7708.665217391304,3.48
2019-10-26,7701.555434782609,3.485
2019-10-27,7694.445652173913,3.4899999999999998
2019-10-28,7687.335869565218,3.4949999999999997
2019-10-29,7680.226086956522,3.5
2019-10-30,7673.116304347826,3.505
2019-10-31,7666.00652173913,3.51
2019-11-01,7658.896739130435,3.5149999999999997
2019-11-02,7651.786956521739,3.52
2019-11-03,7644.677173913044,3.525
2019-11-04,7637.567391304348,3.53
2019-11-05,7630.457608695652,3.5349999999999997
2019-11-06,7623.347826086957,3.54
2019-11-07,7616.238043478261,3.545
2019-11-08,7609.128260869566,3.55
2019-11-09,7602.018478260869,3.5549999999999997
2019-11-10,7594.908695652174,3.5599999999999996
2019-11-11,7587.798913043478,3.565
2019-11-12,7580.689130434783,3.57
2019-11-13,7573.579347826087,3.5749999999999997
2019-11-14,7566.469565217391,3.58
2019-11-15,7559.359782608695,3.585
2019-11-16,7552.25,3.59
2019-11-17,7545.140217391305,3.5949999999999998
2019-11-18,7538.030434782609,3.5999999999999996
2019-11-19,7530.920652173913,3.605
2019-11-20,7523.810869565217,3.61
2019-11-21,7516.701086956522,3.6149999999999998
2019-11-22,7509.591304347826,3.6199999999999997
2019-11-23,7502.481521739131,3.625
2019-11-24,7495.371739130434,3.63
2019-11-25,7488.261956521739,3.635
2019-11-26,7481.152173913043,3.6399999999999997
2019-11-27,7474.042391304348,3.645
2019-11-28,7466.932608695653,3.65
2019-11-29,7459.822826086956,3.655
2019-11-30,7452.713043478261,3.6599999999999997
2019-12-01,7445.603260869565,3.665
2019-12-02,7438.49347826087,3.67
2019-12-03,7431.383695652174,3.675
2019-12-04,7424.273913043478,3.6799999999999997
2019-12-05,7417.164130434782,3.6849999999999996
2019-12-06,7410.054347826087,3.69
2019-12-07,7402.944565217391,3.695
2019-12-08,7395.834782608696,3.6999999999999997
2019-12-09,7388.725,3.705
2019-12-10,7381.615217391304,3.71
2019-12-11,7374.505434782609,3.715
2019-12-12,7367.395652173913,3.7199999999999998
2019-12-13,7360.285869565218,3.7249999999999996
2019-12-14,7353.176086956521,3.73
2019-12-15,7346.066304347826,3.735
2019-12-16,7338.95652173913,3.7399999999999998
2019-12-17,7331.846739130435,3.7449999999999997
2019-12-18,7324.736956521739,3.75
2019-12-19,7317.627173913043,3.755
2019-12-20,7310.517391304347,3.76
2019-12-21,7303.407608695652,3.7649999999999997
2019-12-22,7296.297826086957,3.7699999999999996
2019-12-23,7289.188043478261,3.775
2019-12-24,7282.078260869565,3.78
2019-12-25,7274.968478260869,3.7849999999999997
2019-12-26,7267.858695652174,3.79
2019-12-27,7260.748913043478,3.795
2019-12-28,7253.639130434783,3.8
2019-12-29,7246.529347826086,3.8049999999999997
2019-12-30,7239.419565217391,3.8099999999999996
2019-12-31,7232.309782608696,3.815
2020-01-01,7225.2,3.82
2020-01-02,7210.102197802197,3.82
2020-01-03,7195.0043956043955,3.82
2020-01-04,7179.906593406593,3.82
2020-01-05,7164.808791208791,3.82
2020-01-06,7149.710989010989,3.82
2020-01-07,7134.613186813187,3.82
2020-01-08,7119.515384615384,3.82
2020-01-09,7104.417582417583,3.82
2020-01-10,7089.31978021978,3.82
2020-01-11,7074.2219780219775,3.82
2020-01-12,7059.124175824176,3.82
2020-01-13,7044.026373626373,3.82
2020-01-14,7028.928571428572,3.82
2020-01-15,7013.830769230769,3.82
2020-01-16,6998.732967032967,3.82
2020-01-17,6983.635164835165,3.82
2020-01-18,6968.537362637362,3.82
2020-01-19,6953.43956043956,3.82
2020-01-20,6938.341758241758,3.82
2020-01-21,6923.243956043956,3.82
2020-01-22,6908.1461538461535,3.82
2020-01-23,6893.048351648352,3.82
2020-01-24,6877.950549450549,3.82
2020-01-25,6862.852747252748,3.82
2020-01-26,6847.754945054945,3.82
2020-01-27,6832.657142857142,3.82
