Date,Open_Stock_Price,High_Stock_Price,Low_Stock_Price,Close_Stock_Price,Stock_Volumn,Stock_Dividends,Stock_Splits,Open_Currency_Rate,High_Currency_Rate,Low_Currency_Rate,Close_Currency_Rate,Currency_Rate_Volumn,Currency_Rate_Dividends,Currency_Stock_Splits,Total_Sales(EUR_Million),EPS
2019-11-11,243.2887101167554,243.2887101167554,240.71031188964844,240.71031188964844,320881.0,0.0,0.0,1.102280616760254,1.1043622493743896,1.101722002029419,1.102244257926941,0.0,0.0,0.0,7587.798913043478,3.565
2019-11-12,241.17071897997755,243.0124198169413,240.89447509528284,241.44699096679688,374962.0,0.0,0.0,1.1034847497940063,1.1041183471679688,1.1003884077072144,1.1035456657409668,0.0,0.0,0.0,7580.689130434783,3.57
2019-11-13,241.7232348514916,243.84117957315007,239.51319946756,241.44699096679688,306995.0,0.0,0.0,1.1012123823165894,1.1020498275756836,1.1001100540161133,1.1012367010116575,0.0,0.0,0.0,7573.579347826087,3.575
2019-11-14,242.27574970666677,242.45990292831587,239.2369264771496,240.8023834228516,481239.0,0.0,0.0,1.1008729934692385,1.1017826795578003,1.0990822315216064,1.101321578025818,0.0,0.0,0.0,7566.469565217391,3.58
2019-11-15,241.5697671352755,242.15296120514026,238.99137842269596,241.0479482014974,434355.3333333333,0.0,0.0,1.102292776107788,1.1055831909179688,1.1015278100967407,1.1020498275756836,0.0,0.0,0.0,7559.359782608695,3.585
2019-11-16,240.86378456388422,241.84601948196465,238.74583036824228,241.29351298014322,387471.6666666667,0.0,0.0,1.1033285061518352,1.1067554553349812,1.102818528811137,1.1032031774520874,0.0,0.0,0.0,7552.25,3.59
2019-11-17,240.15780199249295,241.53907775878903,238.50028231378863,241.53907775878903,340588.0,0.0,0.0,1.104364236195882,1.107927719751994,1.104109247525533,1.1043565273284912,0.0,0.0,0.0,7545.140217391305,3.595
2019-11-18,241.2628076126383,241.90741414100276,240.06571331953225,240.15777587890625,294225.0,0.0,0.0,1.1053999662399292,1.1090999841690063,1.1053999662399292,1.105509877204895,0.0,0.0,0.0,7538.030434782609,3.6
2019-11-19,239.2369311480768,239.7894470280605,237.30316772132127,238.1319274902344,432163.0,0.0,0.0,1.1072235107421875,1.1085245609283447,1.1064271926879885,1.1072357892990112,0.0,0.0,0.0,7530.920652173913,3.605
2019-11-20,237.94774331701396,237.94774331701396,234.72476684146807,235.27728271484372,463855.0,0.0,0.0,1.108033299446106,1.1082788705825806,1.1053632497787476,1.1080001592636108,0.0,0.0,0.0,7523.810869565217,3.61
2019-11-21,235.64563642988276,236.47439625629312,234.7247859333985,235.18521118164065,304641.0,0.0,0.0,1.107898235321045,1.1096439361572266,1.106378197669983,1.1078859567642212,0.0,0.0,0.0,7516.701086956522,3.615
2019-11-22,235.67633331990734,236.32092117354577,234.44853265792838,235.18521118164065,295220.3333333333,0.0,0.0,1.1065618991851809,1.1078613996505735,1.102864146232605,1.1065863370895386,0.0,0.0,0.0,7509.591304347826,3.62
2019-11-23,235.70703020993193,236.1674460907984,234.17227938245824,235.18521118164065,285799.6666666667,0.0,0.0,1.1051793495814006,1.1063700517018635,1.1021156311035156,1.1051429907480876,0.0,0.0,0.0,7502.481521739131,3.625
2019-11-24,235.73772709995652,236.01397100805104,233.89602610698813,235.18521118164065,276379.0,0.0,0.0,1.1037967999776206,1.1048787037531533,1.1013671159744263,1.1036996444066365,0.0,0.0,0.0,7495.371739130434,3.63
2019-11-25,235.09314270621343,238.22404293335163,234.08020150456733,236.9348297119141,663745.0,0.0,0.0,1.1024142503738403,1.1033873558044434,1.100618600845337,1.1022562980651855,0.0,0.0,0.0,7488.261956521739,3.635
2019-11-26,237.76359193617975,238.6844423648991,235.82980041544425,237.48731994628903,292569.0,0.0,0.0,1.1012003421783447,1.102657437324524,1.1008002758026123,1.1014429330825806,0.0,0.0,0.0,7481.152173913043,3.64
2019-11-27,237.30316060147672,237.30316060147672,235.0931111989128,236.65855407714844,185525.0,0.0,0.0,1.1022076606750488,1.1022076606750488,1.09933602809906,1.1022562980651855,0.0,0.0,0.0,7474.042391304348,3.645
2019-11-28,236.1060717066546,239.60532060320023,235.4614791419495,238.2240447998047,381829.0,0.0,0.0,1.1006064414978027,1.1019283533096311,1.100158452987671,1.1004853248596191,0.0,0.0,0.0,7466.932608695653,3.65
2019-11-29,236.56648626866104,239.45183473342067,234.14158200155487,236.07537841796875,473822.6666666667,0.0,0.0,1.1011276245117188,1.102669596672058,1.0982855558395386,1.101176142692566,0.0,0.0,0.0,7459.822826086956,3.655
2019-11-30,237.02690083066744,239.2983488636411,232.82168486116024,233.9267120361328,565816.3333333334,0.0,0.0,1.1013419230779011,1.1047523816426594,1.0989824930826821,1.1014188130696614,0.0,0.0,0.0,7452.713043478261,3.66
2019-12-01,237.48731539267388,239.14486299386155,231.5017877207656,231.77804565429688,657810.0,0.0,0.0,1.1015562216440835,1.106835166613261,1.099679430325826,1.1016614834467569,0.0,0.0,0.0,7445.603260869565,3.665
2019-12-02,229.38384320708997,233.0672448544069,228.6471600674141,231.13345336914065,514460.0,0.0,0.0,1.101770520210266,1.1089179515838623,1.1003763675689695,1.1019041538238523,0.0,0.0,0.0,7438.49347826087,3.67
2019-12-03,231.1334539929133,234.5405977156641,230.6730287857561,233.06724548339844,370094.0,0.0,0.0,1.1076037883758545,1.1092623472213743,1.1066476106643677,1.1079105138778689,0.0,0.0,0.0,7431.383695652174,3.675
2019-12-04,233.80393574549012,234.0801937050127,231.3176422119141,231.3176422119141,352047.0,0.0,0.0,1.1081806421279907,1.1113457679748535,1.1067945957183838,1.1085245609283447,0.0,0.0,0.0,7424.273913043478,3.68
2019-12-05,232.69890832930923,236.38232421875,231.68598125439303,236.38232421875,443765.0,0.0,0.0,1.1082665920257568,1.1104941368103027,1.1079963445663452,1.108303427696228,0.0,0.0,0.0,7417.164130434782,3.685
2019-12-06,233.58907200569794,236.19815768586375,232.45336202747123,235.61494954427084,390429.0,0.0,0.0,1.1104201078414917,1.1112345457077026,1.1042280197143557,1.1105434894561768,0.0,0.0,0.0,7410.054347826087,3.69
2019-12-07,234.47923568208665,236.0139911529775,233.22074280054943,234.84757486979166,337093.0,0.0,0.0,1.1088734070460002,1.1101674636205037,1.1046186685562136,1.1089919408162434,0.0,0.0,0.0,7402.944565217391,3.695
2019-12-08,235.36939935847536,235.82982462009124,233.98812357362763,234.0802001953125,283757.0,0.0,0.0,1.1073267062505086,1.109100381533305,1.1050093173980713,1.1074403921763103,0.0,0.0,0.0,7395.834782608696,3.7
2019-12-09,233.89600708246695,235.8297985882194,230.39677267023336,235.27728271484372,422184.0,0.0,0.0,1.105780005455017,1.108033299446106,1.1053999662399292,1.105888843536377,0.0,0.0,0.0,7388.725,3.705
2019-12-10,235.0931323903237,235.55355763431132,232.14641363901515,234.2643585205078,351748.0,0.0,0.0,1.1064517498016355,1.1097548007965088,1.106353759765625,1.106499433517456,0.0,0.0,0.0,7381.615217391304,3.71
2019-12-11,234.9089581006364,237.0269029189961,234.26435153741772,236.0139617919922,534607.0,0.0,0.0,1.109385371208191,1.1098779439926147,1.107174515724182,1.1092746257781982,0.0,0.0,0.0,7374.505434782609,3.715
2019-12-12,237.5794188157369,238.22402537895556,234.4485328703733,236.0139617919922,484391.0,0.0,0.0,1.1133253574371338,1.1153370141983032,1.1111851930618286,1.1135857105255127,0.0,0.0,0.0,7367.395652173913,3.72
2019-12-13,237.487343203718,239.42113489938416,235.40008590680895,237.51803080240884,462730.6666666667,0.0,0.0,1.1183431148529053,1.1186933517456057,1.111889362335205,1.1186057329177856,0.0,0.0,0.0,7360.285869565218,3.725
2019-12-14,237.39526759169917,240.61824441981273,236.35163894324464,239.02209981282553,441070.3333333333,0.0,0.0,1.1164021889368694,1.1177239020665488,1.1120419104894002,1.116552511850993,0.0,0.0,0.0,7353.176086956521,3.73
2019-12-15,237.3031919796803,241.81535394024132,237.3031919796803,240.5261688232422,419410.0,0.0,0.0,1.1144612630208333,1.116754452387492,1.1121944586435952,1.1144992907842,0.0,0.0,0.0,7346.066304347826,3.735
2019-12-16,240.80240976810452,240.89450044006665,235.73773193359372,235.73773193359372,600209.0,0.0,0.0,1.1125203371047974,1.115785002708435,1.1123470067977903,1.1124460697174072,0.0,0.0,0.0,7338.95652173913,3.74
2019-12-17,235.001052580445,238.5923780801413,234.90897595803065,235.6456451416016,446666.0,0.0,0.0,1.113709807395935,1.1173185110092163,1.113089919090271,1.1136974096298218,0.0,0.0,0.0,7331.846739130435,3.745
2019-12-18,236.29024296562,238.59236920631756,235.6456363773739,238.4081878662109,409410.0,0.0,0.0,1.1151504516601562,1.1151504516601562,1.1111358404159546,1.115138053894043,0.0,0.0,0.0,7324.736956521739,3.75
2019-12-19,238.2240721768556,244.39375461310755,237.57946548700724,243.74917602539065,1088167.0,0.0,0.0,1.1115927696228027,1.1142433881759644,1.110987663269043,1.1115927696228027,0.0,0.0,0.0,7317.627173913043,3.755
2019-12-20,240.03506212134025,244.79278095334806,239.26767727948945,243.9333241780599,809506.6666666667,0.0,0.0,1.112371802330017,1.1125946044921875,1.1074320077896118,1.1125946044921875,0.0,0.0,0.0,7310.517391304347,3.76
2019-12-21,241.84605206582486,245.1918072935886,240.95588907197163,244.11747233072919,530846.3333333334,0.0,0.0,1.1109092235565186,1.1116480032602947,1.1073379913965862,1.1110577583312988,0.0,0.0,0.0,7303.407608695652,3.765
2019-12-22,243.6570420103095,245.5908336338291,242.64410086445383,244.30162048339844,252186.0,0.0,0.0,1.1094466447830202,1.1107014020284016,1.1072439750035605,1.1095209121704104,0.0,0.0,0.0,7296.297826086957,3.77
2019-12-23,244.3016105174793,244.3016105174793,242.36784707497108,243.56494140625,71922.0,0.0,0.0,1.1079840660095217,1.1097548007965088,1.107149958610535,1.1079840660095217,0.0,0.0,0.0,7289.188043478261,3.775
2019-12-24,243.56494140625,243.56494140625,243.56494140625,243.56494140625,0.0,0.0,0.0,1.1092993021011353,1.1097548007965088,1.1070642471313477,1.109385371208191,0.0,0.0,0.0,7282.078260869565,3.78
2019-12-25,243.74912740230272,244.9922813076488,243.10453480552002,244.30164337158203,161729.0,0.0,0.0,1.109139323234558,1.110864281654358,1.1077877283096311,1.1090162992477417,0.0,0.0,0.0,7274.968478260869,3.785
2019-12-26,243.93331339835544,246.4196212090476,242.64412820479004,245.0383453369141,323458.0,0.0,0.0,1.1095085144042969,1.1104941368103027,1.1082788705825806,1.1095454692840576,0.0,0.0,0.0,7267.858695652174,3.79
