Date,Close Stock Price,Close Currency Rate,Total_Sales_EUR_Million,EPS
2019-11-11,240.710312,1.102244,7587.798913,3.565000
2019-11-12,241.446991,1.103546,7580.689130,3.570000
2019-11-13,241.446991,1.101237,7573.579348,3.575000
2019-11-14,240.802383,1.101322,7566.469565,3.580000
2019-11-15,241.047948,1.102050,7559.359783,3.585000
2019-11-16,241.293513,1.103203,7552.250000,3.590000
2019-11-17,241.539078,1.104357,7545.140217,3.595000
2019-11-18,240.157776,1.105510,7538.030435,3.600000
2019-11-19,238.131927,1.107236,7530.920652,3.605000
2019-11-20,235.277283,1.108000,7523.810870,3.610000
2019-11-21,235.185211,1.107886,7516.701087,3.615000
2019-11-22,235.185211,1.106586,7509.591304,3.620000
2019-11-23,235.185211,1.105143,7502.481522,3.625000
2019-11-24,235.185211,1.103700,7495.371739,3.630000
2019-11-25,236.934830,1.102256,7488.261957,3.635000
2019-11-26,237.487320,1.101443,7481.152174,3.640000
2019-11-27,236.658554,1.102256,7474.042391,3.645000
2019-11-28,238.224045,1.100485,7466.932609,3.650000
2019-11-29,236.075378,1.101176,7459.822826,3.655000
2019-11-30,233.926712,1.101419,7452.713043,3.660000
2019-12-01,231.778046,1.101661,7445.603261,3.665000
2019-12-02,231.133453,1.101904,7438.493478,3.670000
2019-12-03,233.067245,1.107911,7431.383696,3.675000
2019-12-04,231.317642,1.108525,7424.273913,3.680000
2019-12-05,236.382324,1.108303,7417.164130,3.685000
2019-12-06,235.614950,1.110543,7410.054348,3.690000
2019-12-07,234.847575,1.108992,7402.944565,3.695000
2019-12-08,234.080200,1.107440,7395.834783,3.700000
2019-12-09,235.277283,1.105889,7388.725000,3.705000
2019-12-10,234.264359,1.106499,7381.615217,3.710000
2019-12-11,236.013962,1.109275,7374.505435,3.715000
2019-12-12,236.013962,1.113586,7367.395652,3.720000
2019-12-13,237.518031,1.118606,7360.285870,3.725000
2019-12-14,239.022100,1.116553,7353.176087,3.730000
2019-12-15,240.526169,1.114499,7346.066304,3.735000
2019-12-16,235.737732,1.112446,7338.956522,3.740000
2019-12-17,235.645645,1.113697,7331.846739,3.745000
2019-12-18,238.408188,1.115138,7324.736957,3.750000
2019-12-19,243.749176,1.111593,7317.627174,3.755000
2019-12-20,243.933324,1.112595,7310.517391,3.760000
2019-12-21,244.117472,1.111058,7303.407609,3.765000
2019-12-22,244.301620,1.109521,7296.297826,3.770000
2019-12-23,243.564941,1.107984,7289.188043,3.775000
2019-12-24,243.564941,1.109385,7282.078261,3.780000
2019-12-25,244.301643,1.109016,7274.968478,3.785000
2019-12-26,245.038345,1.109545,7267.858696,3.790000
2019-12-27,244.148188,1.110112,7260.748913,3.795000
2019-12-28,243.258031,1.112818,7253.639130,3.800000
2019-12-29,242.367874,1.115524,7246.529348,3.805000
2019-12-30,243.104538,1.118230,7239.419565,3.810000
2019-12-31,243.196632,1.120230,7232.309783,3.815000
2020-01-01,243.288727,1.122083,7225.200000,3.820000
2020-01-02,243.012451,1.122083,7210.102198,3.820000
2020-01-03,242.736186,1.117144,7195.004396,3.820000
2020-01-04,242.459920,1.116828,7179.906593,3.820000
2020-01-05,242.183655,1.116512,7164.808791,3.820000
2020-01-06,239.052811,1.116196,7149.710989,3.820000
2020-01-07,240.526169,1.119799,7134.613187,3.820000
2020-01-08,241.999512,1.115474,7119.515385,3.820000
2020-01-09,243.012451,1.111321,7104.417582,3.820000
2020-01-10,242.582718,1.111111,7089.319780,3.820000
2020-01-11,242.152985,1.111296,7074.221978,3.820000
2020-01-12,241.723251,1.111482,7059.124176,3.820000
2020-01-13,242.920349,1.111667,7044.026374,3.820000
2020-01-14,248.077103,1.113573,7028.928571,3.820000
2020-01-15,248.445465,1.113090,7013.830769,3.820000
2020-01-16,253.510147,1.115400,6998.732967,3.820000
2020-01-17,253.203196,1.113958,6983.635165,3.820000
2020-01-18,252.896245,1.112458,6968.537363,3.820000
2020-01-19,252.589294,1.110959,6953.439560,3.820000
2020-01-20,249.274246,1.109459,6938.341758,3.820000
2020-01-21,247.708755,1.109693,6923.243956,3.820000
2020-01-22,245.867081,1.108561,6908.146154,3.820000
2020-01-23,249.090057,1.109644,6893.048352,3.820000
2020-01-24,245.253184,1.105522,6877.950549,3.820000
2020-01-25,241.416311,1.104527,6862.852747,3.820000
2020-01-26,237.579437,1.103531,6847.754945,3.820000
2020-01-27,240.894485,1.102536,6832.657143,3.820000
2020-01-28,241.539078,1.101977,6817.559341,3.820000
2020-01-29,239.052811,1.102256,6802.461538,3.820000
2020-01-30,231.962219,1.101686,6787.363736,3.820000
2020-01-31,232.913773,1.102913,6772.265934,3.820000
2020-02-01,233.865326,1.104935,6757.168132,3.820000
2020-02-02,234.816879,1.106957,6742.070330,3.820000
